NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	10^1	1515	TEN
2	10^2	1634	HUNDRED
3	10^3	1843	THOUSAND
4	10^4	2078	TEN THOUSAND
5	10^5	3532	ONE HUNDRED THOUSAND
6	10^6	3533	ONE MILLION
7	10^7	3597	TEN MILLION
8	10^8	3598	ONE HUNDRED MILLION
9	10^9	3599	BILLION
10	10^10	3600	TEN BILLION
